Net Name, Vias, No Ref, Max, Min, Typ, Max, Min, Typ, Length, Delay(ns), R(mOhm), L(nH), C(pF)
FU_DDR4_A0,7,0,63.3,39,48,0.46,4.04,94.64,87.439,0.611,926.227,29.205,12.819
FU_DDR4_A1,7,2,53.6,39,48,0.48,4.04,94.45,87.43,0.607,927.186,28.976,12.738
FU_DDR4_A2,7,0,63.3,39,48,0.47,4.11,94.55,86.007,0.601,910.549,28.721,12.609
FU_DDR4_A3,7,3,53.6,39,48,0.45,4.01,94.41,88.111,0.612,934.106,29.2,12.836
FU_DDR4_A4,7,0,63.3,39,48,0.45,4.01,94.88,88.113,0.616,934.659,29.44,12.92
FU_DDR4_A5,6,0,48,39,48,89.92,4.03,89.92,87.647,0.609,901.615,29.032,12.79
FU_DDR4_A6,6,0,60.8,39,48,0.23,4.07,90.42,86.893,0.604,897.605,28.828,12.685
FU_DDR4_A7,6,0,60.8,39,48,0.37,4.09,91.29,86.383,0.601,897.457,28.707,12.622
FU_DDR4_A8,6,0,60.8,39,48,0.61,4.11,91.65,86.101,0.6,897.512,28.654,12.583
FU_DDR4_A9,6,0,53.6,39,48,0.48,4.21,91.5,84.001,0.585,874.099,27.885,12.299
FU_DDR4_A10,6,0,63.3,39,48,0.46,4.09,88.92,86.389,0.6,885.906,28.599,12.614
FU_DDR4_A11,6,0,60.8,39,48,0.63,4.17,93.24,84.687,0.591,890.755,28.241,12.4
FU_DDR4_A12,6,0,53.6,39,48,0.46,4.05,88.71,87.303,0.606,894.186,28.863,12.752
FU_DDR4_A13,6,0,60.8,39,48,1.61,4.17,91.92,84.748,0.591,889.709,28.328,12.379
FU_DDR4_A14_WE_N,6,0,60.8,39,48,0.22,3.89,87.09,90.959,0.63,921.869,30.052,13.225
FU_DDR4_A15_CAS_N,7,4,60.8,39,48,0.7,3.76,94.55,93.967,0.653,998.569,31.222,13.679
FU_DDR4_A16_RAS_N,7,1,60.8,39,48,0.94,3.67,94.56,96.408,0.673,1025.334,32.211,14.091
FU_DDR4_ACT_N,6,0,63.3,39,48,0.46,4.07,87.99,86.878,0.603,886.133,28.72,12.676
FU_DDR4_ALERT_N,7,0,48,39,47.5,32.97,4.17,51.47,84.755,0.556,629.44,26.215,11.81
FU_DDR4_BA0,6,0,60.8,39,48,0.23,4.01,89.26,88.129,0.612,904.383,29.196,12.848
FU_DDR4_BA1,6,0,60.8,39,48,0.35,3.89,87.01,90.792,0.629,920.449,30.01,13.199
FU_DDR4_BG0,6,0,60.8,39,48,0.22,3.94,88.24,89.733,0.622,915.524,29.69,13.065
FU_DDR4_CKE,6,0,48,39,48,86.31,3.88,86.31,91.236,0.631,919.326,30.086,13.257
FU_DDR4_CK_C,7,0,51.1,39,51.1,56.41,4.02,56.41,88.009,0.573,735.943,28.874,11.394
FU_DDR4_CK_T,7,0,51.1,39,51.1,55.56,4.01,55.56,88.111,0.574,741.606,28.937,11.421
FU_DDR4_CS_N,6,0,53.6,39,48,0.45,3.98,87.24,88.836,0.616,902.237,29.306,12.96
FU_DDR4_ODT,7,4,60.8,39,48,0.44,3.86,94.63,91.514,0.636,971.399,30.367,13.327
FU_DDR4_PAR,7,0,60.8,39,48,0.47,4.15,94.5,85.245,0.596,902.212,28.457,12.5
FU_DDR4_RESET_N,7,0,60.8,39,48,2.7,13.23,78.02,110.665,0.761,1062.462,35.938,16.232
FU_DDR4_SYSCLK_N,2,0,48,39,46.1,39.51,1.31,57.41,53.972,0.353,396.684,16.551,7.545
FU_DDR4_SYSCLK_P,2,0,48,39,46.1,39.14,1.33,57.8,53.047,0.347,388.703,16.257,7.414
FU_DDR4_TEN,6,0,48,39,47.5,7.13,5.84,85.77,48.412,0.303,259.772,14.246,6.451
