Net Name, Vias, No Ref, Max, Min, Typ, Max, Min, Typ, Length, Delay(ns), R(mOhm), L(nH), C(pF)
FU_DDR4_DM_DBI0_N,2,0,48,39,48,98.29,1.71,98.29,74.367,0.522,804.488,24.991,10.901
FU_DDR4_DM_DBI1_N,2,0,48,39,48,97.66,2.34,97.66,54.477,0.382,586.779,18.275,7.99
FU_DDR4_DM_DBI2_N,2,0,53.6,39,48,0.31,1.94,97.75,65.561,0.46,708.102,22.025,9.609
FU_DDR4_DM_DBI3_N,2,0,63.3,39,48,0.41,1.97,97.62,64.711,0.454,698.794,21.76,9.478
FU_DDR4_DM_DBI4_N,2,0,48,39,48,96.32,3.68,96.32,34.587,0.242,369.073,11.559,5.079
FU_DDR4_DM_DBI5_N,2,0,48,39,48,95.77,4.23,95.77,30.065,0.21,319.578,10.032,4.417
FU_DDR4_DM_DBI6_N,2,0,53.6,39,48,0.99,3.15,95.86,40.417,0.283,432.885,13.543,5.926
FU_DDR4_DM_DBI7_N,2,0,48,39,48,96.08,3.92,96.08,32.468,0.227,345.879,10.844,4.769
FU_DDR4_DM_DBI8_N,2,0,63.3,39,48,1.04,3.32,95.63,38.325,0.268,409.993,12.866,5.613
FU_DDR4_DM_DBI9_N,2,0,48,39,48,97.15,2.85,97.15,44.598,0.313,478.654,14.939,6.544
FU_DDR4_DQ0,2,0,48,39,48,98.28,1.72,98.28,73.817,0.518,798.467,24.805,10.82
FU_DDR4_DQ1,2,0,48,39,48,98.28,1.72,98.28,74.081,0.52,801.353,24.894,10.859
FU_DDR4_DQ2,2,0,48,39,48,98.27,1.73,98.27,73.582,0.516,795.894,24.726,10.786
FU_DDR4_DQ3,2,0,48,39,48,98.29,1.71,98.29,74.241,0.521,803.103,24.948,10.882
FU_DDR4_DQ4,2,0,48,39,48,98.27,1.73,98.27,73.736,0.517,797.576,24.778,10.808
FU_DDR4_DQ5,2,0,48,39,48,98.29,1.71,98.29,74.353,0.522,804.328,24.986,10.899
FU_DDR4_DQ6,2,0,48,39,48,98.28,1.72,98.28,73.794,0.518,798.216,24.798,10.817
FU_DDR4_DQ7,2,0,48,39,48,98.28,1.72,98.28,74.053,0.52,801.045,24.885,10.855
FU_DDR4_DQ8,2,0,48,39,48,97.66,2.34,97.66,54.487,0.382,586.891,18.278,7.991
FU_DDR4_DQ9,2,0,48,39,48,97.68,2.32,97.68,54.943,0.385,591.878,18.432,8.058
FU_DDR4_DQ10,2,0,48,39,48,97.67,2.33,97.67,54.531,0.382,587.373,18.293,7.998
FU_DDR4_DQ11,2,0,48,39,48,97.68,2.32,97.68,54.85,0.385,590.867,18.401,8.045
FU_DDR4_DQ12,2,0,48,39,48,97.66,2.34,97.66,54.488,0.382,586.896,18.279,7.991
FU_DDR4_DQ13,2,0,48,39,48,97.68,2.32,97.68,54.896,0.385,591.365,18.417,8.051
FU_DDR4_DQ14,2,0,48,39,48,97.67,2.33,97.67,54.532,0.382,587.377,18.293,7.998
FU_DDR4_DQ15,2,0,48,39,48,97.68,2.32,97.68,54.943,0.385,591.883,18.432,8.058
FU_DDR4_DQ16,2,0,63.3,39,48,0.31,1.96,97.74,65.05,0.456,702.507,21.867,9.53
FU_DDR4_DQ17,2,0,53.6,39,48,0.31,1.94,97.75,65.575,0.46,708.254,22.03,9.611
FU_DDR4_DQ18,2,0,63.3,39,48,1.14,1.96,96.9,64.948,0.456,701.39,21.893,9.497
FU_DDR4_DQ19,2,0,53.6,39,48,0.44,1.94,97.62,65.523,0.46,707.686,22.016,9.602
FU_DDR4_DQ20,2,0,63.3,39,48,0.31,1.96,97.74,65.078,0.456,702.809,21.877,9.534
FU_DDR4_DQ21,2,0,48,39,48,98.11,1.89,98.11,67.46,0.473,728.88,22.659,9.89
FU_DDR4_DQ22,2,0,63.3,39,48,0.36,1.96,97.68,64.951,0.456,701.424,21.838,9.515
FU_DDR4_DQ23,2,0,48,39,48,98.11,1.89,98.11,67.199,0.471,726.026,22.571,9.852
FU_DDR4_DQ24,2,0,63.3,39,48,0.37,1.97,97.66,64.744,0.454,699.156,21.769,9.484
FU_DDR4_DQ25,2,0,53.6,39,48,0.4,1.95,97.65,65.34,0.458,705.679,21.953,9.576
FU_DDR4_DQ26,2,0,63.3,39,48,0.33,1.97,97.7,64.755,0.454,699.28,21.77,9.487
FU_DDR4_DQ27,2,0,53.6,39,48,0.38,1.94,97.68,65.441,0.459,706.788,21.986,9.591
FU_DDR4_DQ28,2,0,48,39,48,98.1,1.9,98.1,66.926,0.469,723.04,22.479,9.812
FU_DDR4_DQ29,2,0,53.6,39,48,1.34,1.95,96.71,65.254,0.458,704.734,21.946,9.553
